	rt	int	ion_annotation	run	run_name
142	2946.21100000002	30.734272104155025	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
143	2949.6240000000003	24.264237091472296	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
144	2953.0369999999803	80.88151497508989	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
145	2956.452	58.233731809480105	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
146	2959.866	11.32325761471975	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
147	2963.2799999999997	48.528749929175774	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
148	2966.694	79.26292457699446	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
149	2970.10699999998	40.44001673207731	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
150	2973.52099999998	51.76291077538053	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
151	2976.93499999998	0.0	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
152	2980.34800000002	40.44010135891085	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
153	2983.761	50.14612462878176	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
154	2987.17600000002	29.116946871454275	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
155	2990.5909999999803	12.940879792097348	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
156	2994.00499999998	79.26264900316937	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
157	2997.41800000002	33.97010791343291	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
158	3000.83200000002	72.79276412180025	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
159	3004.24600000002	32.3521902477637	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
160	3007.659	3.2352487152138565	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
161	3011.07199999998	61.46884808543973	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
162	3014.487	93.8233744255399	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
163	3017.90200000002	82.49953899911588	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
164	3021.31600000002	42.057285409555334	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
165	3024.729	42.05775597074535	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
166	3028.1419999999803	19.41102984039844	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
167	3031.55599999998	19.411362384175845	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
168	3034.96900000002	25.882093214079305	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
169	3038.38300000002	35.587897441814675	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
170	3041.796	38.823355722968245	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
171	3045.21199999998	12.940823502731291	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
172	3048.62500000002	25.882040349870294	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
173	3052.03900000002	0.0	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
174	3055.4519999999998	35.58744343763465	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
175	3058.866	63.085978786944	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
176	3062.2799999999997	43.6757815745068	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
177	3065.69299999998	45.29338605607336	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
178	3069.1060000000202	0.0	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
179	3072.522	25.88185675472232	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
180	3075.936	32.35232082471384	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
181	3079.35	12.940842564489685	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
182	3082.7629999999804	9.705766344836775	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
183	3086.17699999998	9.705722873377454	MS2_y10	run0_Strep0Repl1_R01	Run #0 Spyogenes 0% human plasma
